iter	Passed	Remaining
0	136	136403
1	137	68703
2	138	46138
3	141	35265
4	144	28671
5	145	24061
6	146	20763
7	147	18289
8	148	16372
9	152	15076
10	154	13860
11	156	12859
12	157	11953
13	158	11166
14	160	10547
15	162	9990
16	164	9498
17	165	9050
18	167	8637
19	168	8254
20	169	7908
21	172	7657
22	174	7419
23	176	7158
24	177	6910
25	178	6683
26	179	6474
27	182	6333
28	184	6168
29	186	6018
30	188	5881
31	189	5743
32	192	5645
33	194	5529
34	196	5404
35	197	5284
36	198	5170
37	200	5065
38	202	4988
39	204	4901
40	206	4839
41	209	4768
42	210	4684
43	213	4630
44	214	4558
45	216	4492
46	218	4428
47	219	4362
48	222	4319
49	224	4262
50	225	4203
51	227	4146
52	228	4090
53	230	4034
54	232	3992
55	234	3947
56	236	3916
57	238	3876
58	240	3828
59	241	3781
60	243	3755
61	245	3718
62	247	3679
63	249	3641
64	250	3601
65	251	3560
66	253	3533
67	255	3497
68	256	3464
69	258	3428
70	259	3393
71	260	3358
72	262	3332
73	263	3301
74	265	3277
75	267	3252
76	269	3225
77	270	3194
78	271	3164
79	273	3148
80	275	3124
81	277	3102
82	277	3069
83	279	3046
84	280	3022
85	282	2999
86	284	2980
87	285	2958
88	287	2938
89	288	2914
90	289	2891
91	290	2870
92	292	2853
93	294	2837
94	296	2820
95	297	2802
96	298	2782
97	300	2762
98	301	2741
99	302	2726
100	304	2710
101	306	2695
102	307	2681
103	309	2667
104	311	2652
105	312	2639
106	314	2628
107	317	2619
108	318	2603
109	319	2586
110	320	2570
111	322	2554
112	324	2547
113	326	2535
114	327	2520
115	329	2507
116	330	2493
117	331	2478
118	333	2467
119	335	2459
120	337	2450
121	338	2435
122	339	2420
123	340	2406
124	341	2391
125	342	2376
126	344	2370
127	346	2363
128	348	2353
129	349	2342
130	351	2329
131	352	2316
132	354	2308
133	355	2298
134	357	2289
135	358	2277
136	359	2265
137	360	2253
138	361	2241
139	363	2230
140	365	2226
141	366	2214
142	368	2207
143	369	2196
144	370	2185
145	371	2174
146	372	2163
147	375	2159
148	376	2152
149	378	2143
150	379	2133
151	380	2122
152	381	2113
153	382	2103
154	385	2099
155	386	2093
156	388	2086
157	389	2076
158	390	2066
159	391	2057
160	392	2046
161	394	2040
162	396	2037
163	398	2031
164	399	2023
165	401	2015
166	402	2006
167	403	1998
168	406	1997
169	407	1990
170	409	1984
171	410	1976
172	411	1967
173	412	1958
174	413	1951
175	416	1949
176	417	1942
177	419	1936
178	420	1928
179	421	1920
180	422	1912
181	423	1905
182	426	1903
183	428	1898
184	429	1892
185	430	1885
186	431	1877
187	433	1870
188	434	1863
189	436	1861
190	438	1856
191	439	1850
192	440	1843
193	442	1837
194	443	1831
195	444	1825
196	447	1822
197	448	1817
198	450	1811
199	451	1805
200	452	1798
201	453	1792
202	455	1787
203	457	1784
204	458	1779
205	460	1774
206	461	1767
207	462	1760
208	463	1754
209	464	1747
210	467	1746
211	468	1742
212	470	1737
213	471	1731
214	472	1724
215	473	1718
216	474	1712
217	476	1709
218	478	1706
219	480	1703
220	481	1697
221	482	1691
222	483	1685
223	484	1679
224	486	1676
225	488	1673
226	490	1669
227	491	1664
228	492	1658
229	493	1653
230	494	1647
231	496	1645
232	499	1644
233	501	1640
234	502	1635
235	503	1629
236	504	1624
237	506	1620
238	508	1618
239	509	1614
240	511	1610
241	512	1606
242	513	1600
243	514	1595
244	516	1591
245	518	1589
246	520	1586
247	521	1581
248	522	1575
249	523	1571
250	524	1566
251	525	1561
252	528	1561
253	530	1559
254	532	1554
255	533	1550
256	534	1545
257	535	1541
258	537	1538
259	539	1535
260	541	1532
261	542	1528
262	543	1523
263	544	1518
264	545	1514
265	548	1512
266	550	1509
267	551	1506
268	552	1502
269	553	1497
270	554	1492
271	556	1488
272	558	1488
273	561	1487
274	562	1482
275	563	1478
276	564	1473
277	565	1469
278	567	1467
279	569	1465
280	572	1465
281	574	1462
282	575	1458
283	576	1454
284	579	1452
285	580	1449
286	582	1447
287	584	1444
288	585	1439
289	586	1435
290	587	1432
291	589	1430
292	591	1427
293	593	1425
294	595	1422
295	596	1419
296	598	1416
297	600	1415
298	603	1414
299	604	1410
300	605	1406
301	607	1403
302	609	1402
303	611	1400
304	613	1398
305	615	1394
306	616	1391
307	617	1387
308	619	1385
309	621	1382
310	622	1380
311	624	1376
312	625	1372
313	626	1368
314	627	1364
315	629	1362
316	631	1360
317	633	1357
318	634	1354
319	635	1350
320	636	1346
321	637	1342
322	639	1340
323	641	1338
324	643	1335
325	644	1332
326	645	1329
327	646	1325
328	648	1321
329	650	1320
330	652	1317
331	653	1314
332	654	1311
333	655	1307
334	656	1303
335	658	1300
336	659	1297
337	661	1295
338	663	1293
339	664	1290
340	665	1286
341	666	1282
342	667	1279
343	669	1276
344	671	1275
345	673	1272
346	674	1269
347	676	1267
348	677	1263
349	678	1260
350	680	1257
351	681	1255
352	683	1253
353	684	1249
354	685	1246
355	687	1243
356	688	1240
357	691	1239
358	692	1237
359	694	1234
360	695	1231
361	696	1227
362	697	1224
363	698	1221
364	700	1218
365	702	1217
366	704	1214
367	705	1211
368	706	1208
369	707	1205
370	708	1201
371	710	1199
372	712	1197
373	714	1195
374	715	1192
375	716	1189
376	717	1186
377	718	1183
378	720	1180
379	722	1178
380	724	1176
381	725	1173
382	726	1170
383	727	1167
384	728	1163
385	729	1160
386	731	1159
